[2025-08-01 17:34:25.407] [INFO] app.log file deleted successfully
[2025-08-01 17:34:25.407] [INFO] Trade counter reset successfully
[2025-08-01 17:34:25.407] [INFO] Initialized 6 symbols in database
[2025-08-01 17:34:27.632] [DEBUG] A key detected and service is enabled
[2025-08-01 17:34:27.632] [DEBUG] A key pressed - starting inclined pattern capture
[2025-08-01 17:34:27.633] [DEBUG] SimpleTradingOverlay.OnAKeyPressed() called
[2025-08-01 17:34:27.633] [INFO] A key pressed - starting inclined trading pattern creation
[2025-08-01 17:34:27.633] [INFO] Started inclined trading pattern creation for window 852876 (symbol: XAUUSD)
[2025-08-01 17:34:27.850] [INFO] First click recorded at (1609, 401)
[2025-08-01 17:34:28.434] [INFO] Second click recorded at (1687, 338)
[2025-08-01 17:34:28.435] [INFO] Current window handle: 852876
[2025-08-01 17:34:28.435] [INFO] Window rect: Left=0, Top=0, Right=1920, Bottom=1039
[2025-08-01 17:34:28.503] [DEBUG] RectangleBreakDetector: Column X=37: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.504] [DEBUG] RectangleBreakDetector: Column X=36: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.504] [DEBUG] RectangleBreakDetector: Column X=35: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.504] [DEBUG] RectangleBreakDetector: Column X=34: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.504] [DEBUG] RectangleBreakDetector: Column X=33: whitePixels=2, maxConsecutive=2, gaps=1
[2025-08-01 17:34:28.504] [DEBUG] RectangleBreakDetector: Column X=32: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.505] [DEBUG] RectangleBreakDetector: Column X=31: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.505] [DEBUG] RectangleBreakDetector: Column X=30: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.505] [DEBUG] RectangleBreakDetector: Column X=29: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.505] [DEBUG] RectangleBreakDetector: Column X=28: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.505] [DEBUG] RectangleBreakDetector: Column X=27: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.506] [DEBUG] RectangleBreakDetector: Column X=26: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.506] [DEBUG] RectangleBreakDetector: Column X=25: whitePixels=2, maxConsecutive=2, gaps=1
[2025-08-01 17:34:28.506] [DEBUG] RectangleBreakDetector: Column X=24: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.506] [DEBUG] RectangleBreakDetector: Column X=23: whitePixels=4, maxConsecutive=4, gaps=1
[2025-08-01 17:34:28.506] [DEBUG] RectangleBreakDetector: Column X=22: whitePixels=4, maxConsecutive=4, gaps=1
[2025-08-01 17:34:28.507] [DEBUG] RectangleBreakDetector: Column X=21: whitePixels=5, maxConsecutive=5, gaps=1
[2025-08-01 17:34:28.507] [DEBUG] RectangleBreakDetector: Column X=20: whitePixels=3, maxConsecutive=3, gaps=1
[2025-08-01 17:34:28.507] [DEBUG] RectangleBreakDetector: Column X=19: whitePixels=1, maxConsecutive=1, gaps=1
[2025-08-01 17:34:28.507] [DEBUG] RectangleBreakDetector: Column X=18: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.507] [DEBUG] RectangleBreakDetector: Column X=17: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.508] [DEBUG] RectangleBreakDetector: Column X=16: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.508] [DEBUG] RectangleBreakDetector: Column X=15: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.508] [DEBUG] RectangleBreakDetector: Column X=14: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.508] [DEBUG] RectangleBreakDetector: Column X=13: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.508] [DEBUG] RectangleBreakDetector: Column X=12: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.508] [DEBUG] RectangleBreakDetector: Column X=11: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.509] [DEBUG] RectangleBreakDetector: Column X=10: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.509] [DEBUG] RectangleBreakDetector: Column X=9: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.509] [DEBUG] RectangleBreakDetector: Column X=8: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.509] [DEBUG] RectangleBreakDetector: Column X=7: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.509] [DEBUG] RectangleBreakDetector: Column X=6: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.510] [DEBUG] RectangleBreakDetector: Column X=5: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.510] [DEBUG] RectangleBreakDetector: Column X=4: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.510] [DEBUG] RectangleBreakDetector: Column X=3: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.510] [DEBUG] RectangleBreakDetector: Column X=2: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.510] [DEBUG] RectangleBreakDetector: Column X=1: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.511] [DEBUG] RectangleBreakDetector: Column X=0: whitePixels=0, maxConsecutive=0, gaps=0
[2025-08-01 17:34:28.511] [WARNING] RectangleBreakDetector: No vertical line found with current parameters
[2025-08-01 17:34:28.511] [DEBUG] RectangleBreakDetector: Primary method failed, trying alternative for capture ID=20250801173428468
[2025-08-01 17:34:28.512] [DEBUG] RectangleBreakDetector: Using alternative method to find vertical line
[2025-08-01 17:34:28.512] [DEBUG] RectangleBreakDetector: Alternative - Column X=117: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.512] [DEBUG] RectangleBreakDetector: Alternative - Column X=116: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.512] [DEBUG] RectangleBreakDetector: Alternative - Column X=115: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.512] [DEBUG] RectangleBreakDetector: Alternative - Column X=114: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.513] [DEBUG] RectangleBreakDetector: Alternative - Column X=113: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.513] [DEBUG] RectangleBreakDetector: Alternative - Column X=112: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.513] [DEBUG] RectangleBreakDetector: Alternative - Column X=111: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.513] [DEBUG] RectangleBreakDetector: Alternative - Column X=110: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.513] [DEBUG] RectangleBreakDetector: Alternative - Column X=109: whitePixels=0, whiteSegments=0
[2025-08-01 17:34:28.514] [DEBUG] RectangleBreakDetector: Alternative - Column X=108: whitePixels=0, whiteSegments=0
